City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Marawi,PH,7.9986,124.2928,79.65,67,77,4.29,broken clouds
308,Mahibadhoo,MV,3.7833,72.9667,84.06,73,100,16.11,overcast clouds
309,Olafsvik,IS,64.8945,-23.7142,38.48,64,2,15.32,clear sky
310,Wahpeton,US,46.2652,-96.6059,84.42,61,40,0.0,scattered clouds
311,Jiaohe,CN,43.7286,127.3447,75.43,51,31,5.73,scattered clouds
312,Sigli,ID,5.3848,95.9609,82.15,68,100,3.24,overcast clouds
313,Clyde River,CA,70.4692,-68.5914,17.83,73,90,5.75,overcast clouds
314,Orsha,BY,54.5153,30.4053,42.62,94,1,8.68,clear sky
315,Watertown,US,42.3709,-71.1828,73.15,62,1,5.01,clear sky
316,Hamilton,US,39.1834,-84.5333,74.3,71,1,0.87,clear sky
317,Pafos,CY,34.7667,32.4167,67.78,68,90,16.11,overcast clouds
318,Noyabrsk,RU,63.1994,75.4507,68.43,52,19,8.88,few clouds
319,Baruun-Urt,MN,46.6806,113.2792,54.9,51,100,9.55,light rain
320,Plastun,RU,44.7561,136.2939,58.5,68,100,7.4,overcast clouds
321,Kununurra,AU,-15.7667,128.7333,85.98,32,92,11.5,overcast clouds
322,Ballina,AU,-28.8667,153.5667,66.38,94,75,10.36,broken clouds
323,Quatre Cocos,MU,-20.2078,57.7625,69.91,64,69,16.84,broken clouds
324,Wildwood,US,38.5828,-90.6629,79.39,61,1,4.61,clear sky
325,Poum,NC,-20.2333,164.0167,74.88,65,54,21.27,broken clouds
326,Chumikan,RU,54.7183,135.315,35.42,97,100,1.95,light rain
327,Nemuro,JP,43.3236,145.575,52.23,99,100,16.71,overcast clouds
328,Bethel,US,41.3712,-73.414,67.89,64,98,3.22,overcast clouds
329,Roald,NO,62.5833,6.1333,48.25,93,90,5.75,overcast clouds
330,Kirovsk,UA,48.6375,38.6428,53.13,90,100,7.23,overcast clouds
331,Nouadhibou,MR,20.931,-17.0347,67.98,83,75,11.5,broken clouds
332,Slave Lake,CA,55.2834,-114.769,60.78,21,1,11.5,clear sky
333,Howard Springs,AU,-12.497,131.047,87.82,41,14,8.7,few clouds
